oras,denumire,categorie,rating_general,nr_recenzii,pret_categorie,sezon,tip_calatorie,durata_minima,cuvinte_cheie
Bucharest,Holy Friday Monument,Historic,4.3,2282,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Hanul Elias - Patria,Other,4.9,1634,Mediu,Rece,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Biserica Bulgară Sf. Ilie Proorocul,Religion,3.9,2371,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Sfânta Vineri memorial Park Fountain,Fountains,3.6,1204,Mic,Oricând,City Break,1,"['fântână', 'apă', 'fontană', 'loc de relaxare', 'jocuri de apă']"
Bucharest,Colțea Hospital,Historic architecture,3.8,1132,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Ortodoxă „Scaune”,Religion,4.0,436,Mic,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Monument to Mihail Cantacuzino, Karl Storck, Bucharest",Historic,4.4,2329,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Biserica Scaune,Religion,4.5,1447,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Biserica Sfântul Nicolae - Negustori,Religion,4.7,1508,Mic,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Biserica Ortodoxă Sfântul Mina - Vergu,Religion,3.5,358,Mic,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"St. Mina Church, Bucharest",Religion,3.8,774,Mic,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Hristo Botev Street,Cultural,3.7,286,Mediu,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Church of Colta,Religion,4.0,1446,Mic,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Holocaust Museum,Cultural,4.7,1423,Mediu,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Great Synagogue,Religion,3.5,2534,Mediu,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Hanul Zamfir Simeon,Other,3.7,1158,Mic,Oricând,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,"Biserica Ortodoxă ""Sf. Ioan Nou""",Religion,4.7,398,Mediu,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Colțea Church, Bucharest",Religion,4.2,1884,Mic,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Memorial for the victims of the Bucharest pogrom,Historic,4.0,1533,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Church of the Presentation of Mary,Religion,4.5,597,Mediu,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Lipscani,Historic architecture,4.6,1063,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Cărturești Carusel,Historic architecture,3.9,1727,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Ruinele Bisericii Sf. Anton,Other,4.4,1012,Mic,Oricând,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Palatul Chrissoveloni,Other,3.8,328,Mediu,Cald,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cafeneaua Veche,Other,4.3,2537,Mic,Cald,Relaxare,2,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cinema Pro,Cultural,4.1,1865,Mediu,Rece,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Sala Rapsodia,Cultural,3.8,240,Mic,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Bucharest Russian Church,Religion,4.5,1756,Mediu,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,The Lion of Jerusalem,Cultural,5.0,255,Mediu,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Biserica Ortodoxă „cu Sfinți”,Religion,3.7,201,Mic,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Mignon,Cultural,4.0,677,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Church of St. Nicholas Celari,Religion,4.0,872,Mic,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Clădirea Creditul Funciar Urban,Historic architecture,4.6,887,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Curtea Veche,Religion,4.0,293,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Broken Violin Fountain,Cultural,3.9,1206,Mediu,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche Church,Religion,4.9,1831,Mediu,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Romanian Kitsch Museum,Museums,3.8,2161,Mic,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Bucharest Municipality Museum,Palaces,4.0,1928,Mediu,Oricând,Circuit,5,"['palat', 'monarhie', 'regal', 'eleganță', 'lux']"
Bucharest,CinemaPRO,Cinemas,4.3,605,Mic,Cald,Relaxare,2,"['cinema', 'film', 'sală de cinema', 'evenimente cinematografice']"
Bucharest,Udricani Church,Religion,4.1,1798,Mediu,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Teatrul Foarte Mic,Cultural,4.9,1230,Mic,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,"Monument to C. A. Rosetti, Wladimir Hegel, Bucharest",Historic,3.5,2051,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,C. A. Rosetti,Historic,3.9,1109,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Curtea Sticlarilor,Other,4.7,2990,Mic,Rece,Relaxare,2,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,"""Chief-Rabbi Dr. Moses Rosen"" History Museum of the Jews in Romania",Cultural,3.5,145,Mic,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Jewish Museum,Religion,4.1,1293,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Casa Eliad,Architecture,4.3,2091,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Palatul Creditului Industrial,Architecture,3.8,1688,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,State Jewish Theater,Theatres and entertainments,3.6,2573,Mediu,Cald,Circuit,5,"['teatru', 'spectacol', 'muzică', 'dans', 'entertainment', 'divertisment', 'cultură']"
Bucharest,"""The Old Court"" - Princely Palace",Cultural,4.6,2734,Mediu,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche,Architecture,3.9,1463,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Monument al lui Ion C. Brătianu,Historic,4.2,2897,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Teatrul Evreiesc de Stat,Cultural,5.0,635,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche,Historic,4.8,125,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Statuia lui Vlad Țepeș,Cultural,3.7,2364,Mic,Cald,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,strada Franceză,Historic architecture,3.7,2878,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Adventistă de Ziua a Șaptea - Conferința Muntenia,Religion,4.2,1299,Mediu,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,University Square,Cultural,3.6,1414,Mic,Cald,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Muzeul Curtea Veche,Museums,3.9,1145,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Grand Spanish Temple,Religion,4.3,1366,Mic,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Casa Zarazei,Architecture,3.8,709,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Oscar Maugsch Palace,Architecture,3.8,1001,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Ion Heliade Rădulescu,Cultural,3.9,1421,Mediu,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,"Monument to Ion Heliade Rădulescu, University of Bucharest",Historic,4.3,431,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Hanul Roșu,Other,4.5,2458,Mediu,Cald,Relaxare,2,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Horațiu,Cultural,3.9,2405,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Monument to Michael the Brave,Historic,3.5,2458,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,"Biserica Ortodoxă ""Sfânta Vineri Nouă - Olteni""",Religion,3.8,1874,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Michael the Brave,Cultural,3.9,2141,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Hotel Concordia,Other,3.7,2912,Mic,Oricând,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,National Theatre Museum,Museums,3.8,2414,Mic,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Cluj-Napoca,Cluj-Napoca (Samian Ware Discovery Site),Historic,3.9,2955,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Andrei Mureșeanu,Historic,5.0,1982,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,MATCA artspace,Cultural,4.0,2706,Mic,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Catedrala Martirilor și Mărturisitorilor secolului XX,Religion,4.9,1996,Mediu,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Greek Catholic Diocese of Cluj-Gherla,Religion,4.7,1933,Mediu,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Baba Novac,Historic,4.7,2178,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Tailors' Bastion,Towers,4.7,1405,Mic,Oricând,Circuit,5,"['turn', 'vârf', 'panoramă', 'priveliște']"
Cluj-Napoca,Tailors' Bastion,Fortifications,3.9,1723,Mediu,Rece,City Break,1,"['fortificație', 'castel', 'cetate']"
Cluj-Napoca,Iuliu Maniu,Historic,4.7,2039,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Casa Ion Agârbiceanu,Historic,4.8,2511,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Biserica Eparhială Sfântul Ioan Evanghelistul,Religion,3.8,651,Mic,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Jewish Cemetery,Cemeteries,4.7,1959,Mediu,Oricând,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Casa Memorială Diana Cornea,Biographical museums,3.6,93,Mic,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Cluj-Napoca,Ion Agârbiceanu,Historic,4.6,605,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Farkas Gyalui,Cemeteries,4.2,1641,Mic,Rece,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Reformed Church of Farkas Street,Religion,4.4,2957,Mediu,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Albert Szenczi Molnár,Cemeteries,3.9,1418,Mediu,Oricând,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Statue of Saint George,Historic,4.0,1131,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,La Casa,Architecture,4.2,1919,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Romanian National Opera,Cultural,4.2,1885,Mediu,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Lucian Blaga National Theatre,Cultural,4.1,2481,Mic,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Alexandru Lapedatu,Historic,4.3,386,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Emil Racoviță,Historic,4.1,375,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Alexandru Vaida Voevod,Historic,4.9,260,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Palace of Justice,Historic architecture,3.6,1088,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Emil Racoviță National College,Architecture,4.9,227,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Lucian Blaga,Historic,3.9,1583,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Mihai Eminescu,Historic,4.3,2916,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,"Teleki Palace, Cluj-Napoca",Historic architecture,4.7,557,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Biserica lui Isus Hristos a Sfinților din Zilele din Urmă,Religion,3.9,2146,Mediu,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Miklós Tótfalusi Kis,Cemeteries,4.0,2924,Mediu,Oricând,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Cinema Victoria,Cultural,3.9,1040,Mediu,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Old National Theatre of Cluj,Architecture,4.7,789,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,János Apáczai Csere,Cemeteries,3.6,2797,Mic,Rece,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Orthodox Church of the Transfiguration,Religion,4.5,1816,Mediu,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Restaurant Casa Universitarilor - Piramida,Architecture,4.5,1976,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Fântână arteziană,Fountains,4.3,1920,Mic,Cald,City Break,1,"['fântână', 'apă', 'fontană', 'loc de relaxare', 'jocuri de apă']"
Cluj-Napoca,Avram Iancu,Historic,3.6,1104,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,"""Babes-Bolyai"" University Museum",Cultural,4.2,598,Mic,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Ion Xántus,Cemeteries,5.0,974,Mic,Rece,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Episcopul Nicolae Ivan,Historic,4.0,2127,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Transylvanian School,Historic,3.6,1157,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Eugene Dsida,Cemeteries,3.9,287,Mediu,Cald,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Mitropolitul Bartolomeu Anania,Historic,4.2,1630,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Chapel of the Dead,Religion,5.0,363,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,"Palaeontological and Stratighraphical Museum of the ""Babes-Bolyai"" University",Cultural,4.0,1735,Mediu,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,PUCK Puppet Theatre,Cultural,4.6,352,Mic,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Elek Sigmond,Cemeteries,4.3,604,Mic,Rece,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Cluj Orthodox Metropolitan Museum Collection,Cultural,4.6,2748,Mediu,Rece,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Transfiguration Cathedral,Religion,4.3,115,Mic,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Liviu Rusu,Historic,4.0,348,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,John Kriza,Cemeteries,4.9,904,Mic,Oricând,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Báthory István High School in Cluj-Napoca,Architecture,3.7,1201,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Casa Boemă,Architecture,4.0,909,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Dormition of the Theotokos Orthodox Cathedral,Religion,4.7,2853,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Muzeul Mitropoliei Clujului,Cultural,4.4,2657,Mediu,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Cardinal Iuliu Hossu,Historic,3.7,2987,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Mănăstirea minoriților,Religion,4.2,198,Mediu,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,"Mineralogical Museum of ""Babes-Bolyai"" University",Cultural,4.4,434,Mediu,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Károly Kós,Cemeteries,4.9,683,Mediu,Cald,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Lutheran Cemetery,Cemeteries,4.3,314,Mic,Oricând,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Capitoline Wolf,Historic,4.9,1335,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Glorie Ostașului Român,Historic,4.7,1345,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Central Cemetery,Cemeteries,3.7,185,Mediu,Rece,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Artexpert Gallery,Cultural,4.0,2332,Mic,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Reformed College in Cluj-Napoca,Historic architecture,3.5,119,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Casa Kendeffy din Cluj-Napoca,Historic architecture,3.5,1647,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,George Bánffy,Cemeteries,4.0,1293,Mic,Oricând,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Sándor Bölöni Farkas,Cemeteries,4.5,2145,Mediu,Oricând,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Piarist Church,Religion,4.3,98,Mic,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Unic Art Gallery,Cultural,4.0,832,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Jesuit Academy of Cluj,Historic architecture,4.9,2086,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Bethlen crypt,Cemeteries,4.0,1483,Mic,Rece,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
