oras,denumire,categorie,rating_general,nr_recenzii,pret_categorie,sezon,tip_calatorie,durata_minima,cuvinte_cheie
Bucharest,Walk of Fame Bucharest,Museums,4.8,2767,Mic,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Capitoline Wolf,Cultural,4.0,1373,Mic,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Palatul Voaleta,Other,4.6,481,Mic,Oricând,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cretzulescu Commercial School,Architecture,4.7,976,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Holy Friday Monument,Historic,4.3,1349,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Hanul Elias - Patria,Other,4.0,1141,Mic,Oricând,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Biserica Bulgară Sf. Ilie Proorocul,Religion,4.4,2925,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Sfânta Vineri memorial Park Fountain,Fountains,4.4,2378,Mic,Cald,Circuit,5,"['fântână', 'apă', 'fontană', 'loc de relaxare', 'jocuri de apă']"
Bucharest,Colțea Hospital,Historic architecture,3.6,1279,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Ortodoxă „Scaune”,Religion,4.0,702,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Monument to Mihail Cantacuzino, Karl Storck, Bucharest",Historic,4.3,1956,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Biserica Scaune,Religion,3.5,1510,Mic,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Biserica Sfântul Nicolae - Negustori,Religion,4.1,2611,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Biserica Ortodoxă Sfântul Mina - Vergu,Religion,4.8,1689,Mic,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"St. Mina Church, Bucharest",Religion,4.2,2054,Mic,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Hristo Botev Street,Cultural,4.9,694,Mediu,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Church of Colta,Religion,4.0,2363,Mediu,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Holocaust Museum,Cultural,4.5,574,Mic,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Great Synagogue,Religion,4.4,2464,Mediu,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Hanul Zamfir Simeon,Other,4.2,281,Mic,Oricând,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,"Biserica Ortodoxă ""Sf. Ioan Nou""",Religion,3.8,1040,Mic,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Colțea Church, Bucharest",Religion,4.8,2682,Mic,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Memorial for the victims of the Bucharest pogrom,Historic,4.0,969,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Church of the Presentation of Mary,Religion,4.9,350,Mediu,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Lipscani,Historic architecture,4.1,2592,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Cărturești Carusel,Historic architecture,4.3,2205,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Ruinele Bisericii Sf. Anton,Other,4.1,878,Mic,Oricând,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Palatul Chrissoveloni,Other,5.0,102,Mediu,Cald,Relaxare,2,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cafeneaua Veche,Other,3.5,994,Mic,Oricând,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cinema Pro,Cultural,3.9,1680,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Sala Rapsodia,Cultural,3.7,205,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Bucharest Russian Church,Religion,3.9,747,Mic,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,The Lion of Jerusalem,Cultural,4.6,2890,Mic,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Biserica Ortodoxă „cu Sfinți”,Religion,3.7,259,Mediu,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Mignon,Cultural,4.4,1600,Mic,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Church of St. Nicholas Celari,Religion,3.5,483,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Clădirea Creditul Funciar Urban,Historic architecture,4.2,914,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Curtea Veche,Religion,4.5,2173,Mic,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Broken Violin Fountain,Cultural,4.6,551,Mediu,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche Church,Religion,3.7,616,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Romanian Kitsch Museum,Museums,4.0,610,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Bucharest Municipality Museum,Palaces,3.6,1334,Mic,Oricând,Circuit,5,"['palat', 'monarhie', 'regal', 'eleganță', 'lux']"
Bucharest,CinemaPRO,Cinemas,4.4,1542,Mic,Rece,City Break,1,"['cinema', 'film', 'sală de cinema', 'evenimente cinematografice']"
Bucharest,Udricani Church,Religion,3.8,634,Mediu,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Teatrul Foarte Mic,Cultural,3.9,1532,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,"Monument to C. A. Rosetti, Wladimir Hegel, Bucharest",Historic,3.8,2658,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,C. A. Rosetti,Historic,4.1,2068,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Curtea Sticlarilor,Other,4.5,387,Mic,Rece,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,"""Chief-Rabbi Dr. Moses Rosen"" History Museum of the Jews in Romania",Cultural,4.4,590,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Jewish Museum,Religion,3.6,2834,Mediu,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Casa Eliad,Architecture,4.4,756,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Palatul Creditului Industrial,Architecture,4.6,740,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,State Jewish Theater,Theatres and entertainments,3.7,2166,Mediu,Cald,Relaxare,2,"['teatru', 'spectacol', 'muzică', 'dans', 'entertainment', 'divertisment']"
Bucharest,"""The Old Court"" - Princely Palace",Cultural,3.7,2505,Mic,Rece,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche,Architecture,3.8,1900,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Monument al lui Ion C. Brătianu,Historic,3.6,600,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Teatrul Evreiesc de Stat,Cultural,3.9,976,Mediu,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche,Historic,4.9,1064,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Statuia lui Vlad Țepeș,Cultural,3.7,1952,Mediu,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,strada Franceză,Historic architecture,4.4,2870,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Adventistă de Ziua a Șaptea - Conferința Muntenia,Religion,4.9,1046,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,University Square,Cultural,3.6,1005,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Muzeul Curtea Veche,Museums,5.0,2949,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Grand Spanish Temple,Religion,4.1,1695,Mediu,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Casa Zarazei,Architecture,4.8,2324,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Oscar Maugsch Palace,Architecture,4.2,677,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Ion Heliade Rădulescu,Cultural,4.8,976,Mediu,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,"Monument to Ion Heliade Rădulescu, University of Bucharest",Historic,4.2,1144,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Hanul Roșu,Other,3.6,2322,Mic,Oricând,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Horațiu,Cultural,3.8,2655,Mediu,Cald,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Monument to Michael the Brave,Historic,3.5,158,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,"Biserica Ortodoxă ""Sfânta Vineri Nouă - Olteni""",Religion,4.7,1397,Mediu,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Michael the Brave,Cultural,4.9,974,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Hotel Concordia,Other,3.5,2160,Mic,Oricând,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,National Theatre Museum,Museums,4.6,135,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Cluj-Napoca,Cluj-Napoca (Samian Ware Discovery Site),Historic,3.5,1092,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Andrei Mureșeanu,Historic,4.2,929,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,MATCA artspace,Cultural,4.8,1557,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Catedrala Martirilor și Mărturisitorilor secolului XX,Religion,4.2,2172,Mediu,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Greek Catholic Diocese of Cluj-Gherla,Religion,4.2,2449,Mediu,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Baba Novac,Historic,4.6,1665,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Tailors' Bastion,Towers,4.9,291,Mic,Cald,City Break,1,"['turn', 'vârf', 'panoramă', 'priveliște']"
Cluj-Napoca,Tailors' Bastion,Fortifications,3.9,1980,Mic,Cald,Circuit,5,"['fortificație', 'castel', 'cetate']"
Cluj-Napoca,Iuliu Maniu,Historic,4.7,1783,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Casa Ion Agârbiceanu,Historic,3.7,2223,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Biserica Eparhială Sfântul Ioan Evanghelistul,Religion,4.1,808,Mic,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Jewish Cemetery,Cemeteries,4.1,2230,Mic,Rece,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Casa Memorială Diana Cornea,Biographical museums,3.9,1883,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Cluj-Napoca,Ion Agârbiceanu,Historic,4.1,1612,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Farkas Gyalui,Cemeteries,3.8,2845,Mediu,Cald,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Reformed Church of Farkas Street,Religion,3.7,2289,Mediu,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Albert Szenczi Molnár,Cemeteries,5.0,435,Mic,Cald,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Statue of Saint George,Historic,4.6,2862,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,La Casa,Architecture,4.6,2588,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Romanian National Opera,Cultural,3.8,2269,Mic,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Lucian Blaga National Theatre,Cultural,4.1,233,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Alexandru Lapedatu,Historic,4.5,316,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Emil Racoviță,Historic,3.8,129,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Alexandru Vaida Voevod,Historic,3.7,854,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Palace of Justice,Historic architecture,4.1,363,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Emil Racoviță National College,Architecture,4.2,2329,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Lucian Blaga,Historic,4.5,366,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Mihai Eminescu,Historic,4.7,681,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,"Teleki Palace, Cluj-Napoca",Historic architecture,4.2,1271,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Biserica lui Isus Hristos a Sfinților din Zilele din Urmă,Religion,4.7,2970,Mediu,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Miklós Tótfalusi Kis,Cemeteries,4.4,973,Mediu,Rece,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Cinema Victoria,Cultural,4.9,997,Mic,Rece,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Old National Theatre of Cluj,Architecture,3.8,1915,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,János Apáczai Csere,Cemeteries,4.6,907,Mediu,Oricând,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Orthodox Church of the Transfiguration,Religion,4.1,260,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Restaurant Casa Universitarilor - Piramida,Architecture,4.1,275,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Fântână arteziană,Fountains,3.6,153,Mediu,Rece,Circuit,5,"['fântână', 'apă', 'fontană', 'loc de relaxare', 'jocuri de apă']"
Cluj-Napoca,Avram Iancu,Historic,4.3,2158,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,"""Babes-Bolyai"" University Museum",Cultural,4.6,2821,Mediu,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Ion Xántus,Cemeteries,5.0,778,Mic,Rece,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Episcopul Nicolae Ivan,Historic,4.6,752,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Transylvanian School,Historic,3.7,2564,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Eugene Dsida,Cemeteries,4.4,832,Mediu,Rece,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Mitropolitul Bartolomeu Anania,Historic,4.4,75,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Chapel of the Dead,Religion,4.2,347,Mic,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,"Palaeontological and Stratighraphical Museum of the ""Babes-Bolyai"" University",Cultural,3.5,1895,Mic,Rece,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,PUCK Puppet Theatre,Cultural,4.7,2201,Mic,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Elek Sigmond,Cemeteries,4.1,86,Mic,Rece,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Cluj Orthodox Metropolitan Museum Collection,Cultural,4.1,1032,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Transfiguration Cathedral,Religion,4.3,2544,Mediu,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Liviu Rusu,Historic,4.0,1963,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,John Kriza,Cemeteries,4.1,2766,Mic,Rece,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Báthory István High School in Cluj-Napoca,Architecture,4.3,306,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Casa Boemă,Architecture,4.6,1317,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Dormition of the Theotokos Orthodox Cathedral,Religion,4.9,947,Mediu,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Muzeul Mitropoliei Clujului,Cultural,3.9,1022,Mediu,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Cardinal Iuliu Hossu,Historic,4.7,1877,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Mănăstirea minoriților,Religion,4.7,350,Mediu,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,"Mineralogical Museum of ""Babes-Bolyai"" University",Cultural,3.7,432,Mediu,Cald,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Károly Kós,Cemeteries,4.5,2329,Mediu,Cald,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Lutheran Cemetery,Cemeteries,3.8,1610,Mediu,Cald,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Capitoline Wolf,Historic,4.0,2167,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Glorie Ostașului Român,Historic,4.0,722,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Central Cemetery,Cemeteries,4.7,2928,Mic,Rece,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Artexpert Gallery,Cultural,4.9,227,Mic,Rece,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Reformed College in Cluj-Napoca,Historic architecture,3.8,1757,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Casa Kendeffy din Cluj-Napoca,Historic architecture,3.8,2669,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,George Bánffy,Cemeteries,3.6,165,Mediu,Oricând,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Sándor Bölöni Farkas,Cemeteries,4.0,807,Mic,Oricând,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Piarist Church,Religion,5.0,2757,Mic,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Unic Art Gallery,Cultural,4.6,152,Mic,Cald,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Jesuit Academy of Cluj,Historic architecture,4.3,1546,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Bethlen crypt,Cemeteries,3.7,2975,Mic,Cald,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
