nume locatie,oras,rating general,numar de recenzii,categorie,popularitate,sezon recomandat,longitudine,latitudine,pret estimativ,tip calatorie,cuvinte cheie
"Monument to Mihail Cantacuzino, Karl Storck, Bucharest",București,3.6,2789,Historic,1,Oricând,26.103435516357422,44.434425354003906,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica Scaune,București,3.7,492,Religion,3,Oricând,26.10573387145996,44.4351921081543,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Sfântul Nicolae - Negustori,București,4.5,844,Religion,2,Oricând,26.109651565551758,44.43399429321289,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Ortodoxă Sfântul Mina - Vergu,București,4.7,809,Religion,3,Oricând,26.110485076904297,44.43230056762695,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"St. Mina Church, Bucharest",București,5.0,2256,Religion,1,Oricând,26.110490798950195,44.43227005004883,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Hristo Botev Street,București,4.5,1044,Cultural,1,Oricând,26.10650062561035,44.435298919677734,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Church of Colta,București,4.2,297,Religion,2,Oricând,26.10224151611328,44.433372497558594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Holocaust Museum,București,3.5,559,Cultural,2,Oricând,26.108407974243164,44.429561614990234,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Great Synagogue,București,4.2,1306,Religion,3,Oricând,26.108585357666016,44.42954635620117,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Hanul Zamfir Simeon,București,3.8,2665,Other,2,Oricând,26.10184097290039,44.432647705078125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Biserica Ortodoxă ""Sf. Ioan Nou""",București,4.2,2544,Religion,2,Oricând,26.104297637939453,44.42939376831055,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Colțea Church, Bucharest",București,4.1,519,Religion,1,Oricând,26.10340118408203,44.434722900390625,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Memorial for the victims of the Bucharest pogrom,București,4.4,1963,Historic,3,Oricând,26.10891342163086,44.42963790893555,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Church of the Presentation of Mary,București,4.0,900,Religion,2,Oricând,26.10847282409668,44.435150146484375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Lipscani,București,4.5,1619,Historic architecture,1,Oricând,26.101646423339844,44.43183135986328,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Cărturești Carusel,București,4.7,1758,Historic architecture,2,Oricând,26.101608276367188,44.43189239501953,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Ruinele Bisericii Sf. Anton,București,3.6,1023,Other,1,Oricând,26.102920532226562,44.42990493774414,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Palatul Chrissoveloni,București,4.7,920,Other,3,Oricând,26.101579666137695,44.432044982910156,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cafeneaua Veche,București,4.9,2263,Other,3,Oricând,26.10239028930664,44.43031311035156,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cinema Pro,București,3.6,2056,Cultural,2,Oricând,26.10225486755371,44.434242248535156,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Sala Rapsodia,București,4.2,623,Cultural,3,Oricând,26.101333618164062,44.431922912597656,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Bucharest Russian Church,București,3.9,829,Religion,2,Oricând,26.10176658630371,44.433799743652344,Mic,City Break,"['turism', 'călătorie', 'explorare']"
The Lion of Jerusalem,București,4.6,2625,Cultural,1,Oricând,26.109403610229492,44.429473876953125,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Biserica Ortodoxă „cu Sfinți”,București,3.9,324,Religion,3,Oricând,26.108537673950195,44.43543243408203,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Mignon,București,4.1,2083,Cultural,1,Oricând,26.10628890991211,44.43587875366211,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Church of St. Nicholas Celari,București,4.3,2325,Religion,3,Oricând,26.101205825805664,44.432621002197266,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Clădirea Creditul Funciar Urban,București,4.1,1382,Historic architecture,1,Oricând,26.10140037536621,44.43349838256836,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Curtea Veche,București,4.6,1682,Religion,2,Oricând,26.102062225341797,44.43009948730469,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Broken Violin Fountain,București,4.1,2114,Cultural,2,Oricând,26.103384017944336,44.43532180786133,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Curtea Veche Church,București,4.3,549,Religion,1,Oricând,26.102014541625977,44.43013381958008,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Romanian Kitsch Museum,București,4.7,952,Museums,1,Oricând,26.10150909423828,44.43075180053711,Mediu,Cultural,"['muzeu', 'cultură', 'istorie', 'artă']"
Bucharest Municipality Museum,București,3.6,805,Palaces,1,Oricând,26.102224349975586,44.43476486206055,Mic,City Break,"['turism', 'călătorie', 'explorare']"
CinemaPRO,București,4.5,2294,Cinemas,2,Oricând,26.101451873779297,44.4339599609375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Udricani Church,București,4.6,332,Religion,2,Oricând,26.110280990600586,44.429649353027344,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Teatrul Foarte Mic,București,4.2,2115,Cultural,2,Oricând,26.10523223876953,44.436187744140625,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Monument to C. A. Rosetti, Wladimir Hegel, Bucharest",București,4.5,1415,Historic,1,Oricând,26.10633087158203,44.4362907409668,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
C. A. Rosetti,București,3.7,1871,Historic,3,Oricând,26.106470108032227,44.43628692626953,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Curtea Sticlarilor,București,3.7,1506,Other,1,Oricând,26.101024627685547,44.43070983886719,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"""Chief-Rabbi Dr. Moses Rosen"" History Museum of the Jews in Romania",București,4.5,1907,Cultural,3,Oricând,26.107961654663086,44.42839050292969,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Jewish Museum,București,4.7,1416,Religion,3,Oricând,26.108057022094727,44.42835235595703,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa Eliad,București,3.9,1654,Architecture,1,Oricând,26.111854553222656,44.43119430541992,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Palatul Creditului Industrial,București,4.2,2444,Architecture,3,Oricând,26.10166358947754,44.434776306152344,Mic,City Break,"['turism', 'călătorie', 'explorare']"
State Jewish Theater,București,4.0,1874,Theatres and entertainments,1,Oricând,26.11052131652832,44.42938995361328,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"""The Old Court"" - Princely Palace",București,4.3,1320,Cultural,1,Oricând,26.101274490356445,44.4300537109375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Curtea Veche,București,4.1,1188,Architecture,1,Oricând,26.101198196411133,44.43010711669922,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Monument al lui Ion C. Brătianu,București,3.6,1735,Historic,1,Oricând,26.102493286132812,44.435508728027344,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Teatrul Evreiesc de Stat,București,3.6,1925,Cultural,3,Oricând,26.11079216003418,44.4294319152832,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Curtea Veche,București,4.8,2797,Historic,2,Oricând,26.101078033447266,44.430076599121094,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Statuia lui Vlad Țepeș,București,4.9,1462,Cultural,1,Oricând,26.101181030273438,44.429931640625,Mic,City Break,"['turism', 'călătorie', 'explorare']"
strada Franceză,București,5.0,2637,Historic architecture,3,Oricând,26.10110092163086,44.43000030517578,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica Adventistă de Ziua a Șaptea - Conferința Muntenia,București,3.6,464,Religion,1,Oricând,26.110748291015625,44.435150146484375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
University Square,București,4.1,2678,Cultural,2,Oricând,26.102346420288086,44.435550689697266,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Muzeul Curtea Veche,București,4.0,2908,Museums,1,Oricând,26.101106643676758,44.429866790771484,Mediu,Cultural,"['muzeu', 'cultură', 'istorie', 'artă']"
Grand Spanish Temple,București,4.8,2516,Religion,2,Oricând,26.10824966430664,44.42805480957031,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa Zarazei,București,5.0,1707,Architecture,3,Oricând,26.110477447509766,44.42897415161133,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Oscar Maugsch Palace,București,4.9,1453,Architecture,1,Oricând,26.100868225097656,44.434505462646484,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ion Heliade Rădulescu,București,4.3,2805,Cultural,2,Oricând,26.101497650146484,44.43514633178711,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Monument to Ion Heliade Rădulescu, University of Bucharest",București,4.2,2385,Historic,1,Oricând,26.101398468017578,44.43513488769531,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Hanul Roșu,București,4.3,1583,Other,2,Oricând,26.100631713867188,44.430023193359375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Horațiu,București,4.6,700,Cultural,3,Oricând,26.100025177001953,44.43099594116211,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Monument to Michael the Brave,București,3.6,259,Historic,1,Oricând,26.10106086730957,44.435020446777344,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
"Biserica Ortodoxă ""Sfânta Vineri Nouă - Olteni""",București,4.5,1129,Religion,3,Oricând,26.110408782958984,44.42868423461914,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Michael the Brave,București,4.5,86,Cultural,3,Oricând,26.101089477539062,44.435062408447266,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Hotel Concordia,București,4.3,2876,Other,3,Oricând,26.100021362304688,44.430782318115234,Mic,City Break,"['turism', 'călătorie', 'explorare']"
National Theatre Museum,București,4.6,2160,Museums,2,Oricând,26.103593826293945,44.43657684326172,Mediu,Cultural,"['muzeu', 'cultură', 'istorie', 'artă']"
Cluj-Napoca (Samian Ware Discovery Site),Cluj-Napoca,4.3,1359,Historic,2,Oricând,23.600000381469727,46.76667022705078,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Andrei Mureșeanu,Cluj-Napoca,4.2,2105,Historic,1,Oricând,23.60004997253418,46.76727294921875,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
MATCA artspace,Cluj-Napoca,4.8,2539,Cultural,3,Oricând,23.598995208740234,46.766117095947266,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Catedrala Martirilor și Mărturisitorilor secolului XX,Cluj-Napoca,3.5,1508,Religion,2,Oricând,23.598909378051758,46.76778030395508,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Greek Catholic Diocese of Cluj-Gherla,Cluj-Napoca,3.5,2716,Religion,3,Oricând,23.59855079650879,46.76762390136719,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Baba Novac,Cluj-Napoca,4.3,836,Historic,3,Oricând,23.597570419311523,46.76792526245117,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Tailors' Bastion,Cluj-Napoca,3.7,2131,Towers,1,Oricând,23.597518920898438,46.76800537109375,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Tailors' Bastion,Cluj-Napoca,3.9,2244,Fortifications,2,Oricând,23.59731674194336,46.76835632324219,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Iuliu Maniu,Cluj-Napoca,4.2,2897,Historic,1,Oricând,23.597463607788086,46.76846694946289,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Casa Ion Agârbiceanu,Cluj-Napoca,4.6,326,Historic,3,Oricând,23.602428436279297,46.76462936401367,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica Eparhială Sfântul Ioan Evanghelistul,Cluj-Napoca,3.9,1208,Religion,2,Oricând,23.604049682617188,46.76629638671875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Jewish Cemetery,Cluj-Napoca,4.1,576,Cemeteries,2,Oricând,23.5958251953125,46.76597213745117,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa Memorială Diana Cornea,Cluj-Napoca,3.8,78,Biographical museums,3,Oricând,23.59759521484375,46.76404571533203,Mediu,Cultural,"['muzeu', 'cultură', 'istorie', 'artă']"
Ion Agârbiceanu,Cluj-Napoca,3.6,2310,Historic,3,Oricând,23.602516174316406,46.76407241821289,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Farkas Gyalui,Cluj-Napoca,4.2,1531,Cemeteries,1,Oricând,23.595399856567383,46.76664352416992,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Reformed Church of Farkas Street,Cluj-Napoca,4.5,139,Religion,1,Oricând,23.59587287902832,46.76814270019531,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Albert Szenczi Molnár,Cluj-Napoca,3.8,1327,Cemeteries,2,Oricând,23.595247268676758,46.76619338989258,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Statue of Saint George,Cluj-Napoca,3.8,737,Historic,2,Oricând,23.595300674438477,46.76805114746094,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
La Casa,Cluj-Napoca,3.6,761,Architecture,2,Oricând,23.596942901611328,46.769691467285156,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Romanian National Opera,Cluj-Napoca,4.0,988,Cultural,1,Oricând,23.597352981567383,46.77006912231445,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Lucian Blaga National Theatre,Cluj-Napoca,4.8,2362,Cultural,1,Oricând,23.59749412536621,46.7701301574707,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Alexandru Lapedatu,Cluj-Napoca,4.1,1383,Historic,3,Oricând,23.60028839111328,46.76258850097656,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Emil Racoviță,Cluj-Napoca,3.8,2060,Historic,3,Oricând,23.59423828125,46.76789474487305,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Alexandru Vaida Voevod,Cluj-Napoca,4.2,730,Historic,1,Oricând,23.59699821472168,46.770267486572266,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Palace of Justice,Cluj-Napoca,4.4,1755,Historic architecture,1,Oricând,23.59861946105957,46.7707405090332,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Emil Racoviță National College,Cluj-Napoca,4.6,2121,Architecture,3,Oricând,23.594064712524414,46.768165588378906,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Lucian Blaga,Cluj-Napoca,3.8,121,Historic,1,Oricând,23.59726333618164,46.77070236206055,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Mihai Eminescu,Cluj-Napoca,5.0,2995,Historic,1,Oricând,23.597015380859375,46.77064895629883,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
"Teleki Palace, Cluj-Napoca",Cluj-Napoca,4.0,2708,Historic architecture,1,Oricând,23.59352684020996,46.7679443359375,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Biserica lui Isus Hristos a Sfinților din Zilele din Urmă,Cluj-Napoca,4.1,67,Religion,3,Oricând,23.606882095336914,46.76650619506836,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Miklós Tótfalusi Kis,Cluj-Napoca,3.8,2137,Cemeteries,3,Oricând,23.593751907348633,46.764530181884766,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cinema Victoria,Cluj-Napoca,3.9,489,Cultural,2,Oricând,23.596092224121094,46.77070617675781,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Old National Theatre of Cluj,Cluj-Napoca,4.0,2789,Architecture,2,Oricând,23.59295082092285,46.767398834228516,Mic,City Break,"['turism', 'călătorie', 'explorare']"
János Apáczai Csere,Cluj-Napoca,4.7,62,Cemeteries,3,Oricând,23.59381103515625,46.76424026489258,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Orthodox Church of the Transfiguration,Cluj-Napoca,4.6,579,Religion,2,Oricând,23.594356536865234,46.76980209350586,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Restaurant Casa Universitarilor - Piramida,Cluj-Napoca,4.6,2761,Architecture,2,Oricând,23.592914581298828,46.76811218261719,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Fântână arteziană,Cluj-Napoca,4.1,1136,Fountains,1,Oricând,23.59675407409668,46.771278381347656,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Avram Iancu,Cluj-Napoca,3.6,451,Historic,2,Oricând,23.596752166748047,46.77130126953125,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
"""Babes-Bolyai"" University Museum",Cluj-Napoca,4.4,2350,Cultural,2,Oricând,23.592147827148438,46.76741027832031,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Ion Xántus,Cluj-Napoca,4.0,450,Cemeteries,3,Oricând,23.592151641845703,46.76576232910156,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Episcopul Nicolae Ivan,Cluj-Napoca,4.8,1749,Historic,1,Oricând,23.596616744995117,46.77162551879883,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Transylvanian School,Cluj-Napoca,4.9,150,Historic,1,Oricând,23.59212875366211,46.76762008666992,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Eugene Dsida,Cluj-Napoca,3.7,2410,Cemeteries,2,Oricând,23.592758178710938,46.76435089111328,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Mitropolitul Bartolomeu Anania,Cluj-Napoca,4.5,1967,Historic,3,Oricând,23.5964412689209,46.77158737182617,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Chapel of the Dead,Cluj-Napoca,4.8,2136,Religion,3,Oricând,23.592060089111328,46.765892028808594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Palaeontological and Stratighraphical Museum of the ""Babes-Bolyai"" University",Cluj-Napoca,3.8,519,Cultural,1,Oricând,23.59209442138672,46.767765045166016,Mic,City Break,"['turism', 'călătorie', 'explorare']"
PUCK Puppet Theatre,Cluj-Napoca,3.7,473,Cultural,3,Oricând,23.59237289428711,46.76862716674805,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Elek Sigmond,Cluj-Napoca,4.5,1625,Cemeteries,3,Oricând,23.59191131591797,46.76577377319336,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cluj Orthodox Metropolitan Museum Collection,Cluj-Napoca,4.6,1572,Cultural,2,Oricând,23.597238540649414,46.77204132080078,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Transfiguration Cathedral,Cluj-Napoca,4.3,2069,Religion,1,Oricând,23.592588424682617,46.769344329833984,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Liviu Rusu,Cluj-Napoca,4.0,2714,Historic,1,Oricând,23.60235023498535,46.7611198425293,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
John Kriza,Cluj-Napoca,3.9,2689,Cemeteries,1,Oricând,23.594223022460938,46.762451171875,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Báthory István High School in Cluj-Napoca,Cluj-Napoca,3.9,1284,Architecture,1,Oricând,23.591564178466797,46.76696014404297,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Casa Boemă,Cluj-Napoca,4.4,2374,Architecture,1,Oricând,23.594608306884766,46.7711296081543,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Dormition of the Theotokos Orthodox Cathedral,Cluj-Napoca,4.0,2299,Religion,2,Oricând,23.596311569213867,46.77189254760742,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Muzeul Mitropoliei Clujului,Cluj-Napoca,4.8,1123,Cultural,1,Oricând,23.59644889831543,46.771976470947266,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Cardinal Iuliu Hossu,Cluj-Napoca,4.3,1109,Historic,1,Oricând,23.59269905090332,46.7697639465332,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Mănăstirea minoriților,Cluj-Napoca,4.5,1887,Religion,2,Oricând,23.592329025268555,46.76942825317383,Mic,City Break,"['turism', 'călătorie', 'explorare']"
"Mineralogical Museum of ""Babes-Bolyai"" University",Cluj-Napoca,4.1,2945,Cultural,3,Oricând,23.591346740722656,46.767555236816406,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Károly Kós,Cluj-Napoca,4.6,713,Cemeteries,2,Oricând,23.592012405395508,46.76421356201172,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Lutheran Cemetery,Cluj-Napoca,4.2,1501,Cemeteries,3,Oricând,23.591556549072266,46.76476287841797,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Capitoline Wolf,Cluj-Napoca,4.5,730,Historic,2,Oricând,23.592288970947266,46.769710540771484,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Glorie Ostașului Român,Cluj-Napoca,4.1,105,Historic,2,Oricând,23.59609603881836,46.77231979370117,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Central Cemetery,Cluj-Napoca,4.5,1610,Cemeteries,1,Oricând,23.593400955200195,46.762332916259766,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Artexpert Gallery,Cluj-Napoca,4.8,1089,Cultural,2,Oricând,23.592639923095703,46.77056884765625,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Reformed College in Cluj-Napoca,Cluj-Napoca,3.6,2425,Historic architecture,3,Oricând,23.59067726135254,46.76641845703125,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Casa Kendeffy din Cluj-Napoca,Cluj-Napoca,4.5,873,Historic architecture,3,Oricând,23.591402053833008,46.769187927246094,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
George Bánffy,Cluj-Napoca,3.6,375,Cemeteries,1,Oricând,23.592702865600586,46.76261901855469,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Sándor Bölöni Farkas,Cluj-Napoca,4.3,678,Cemeteries,3,Oricând,23.593772888183594,46.76180648803711,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Piarist Church,Cluj-Napoca,3.8,2946,Religion,2,Oricând,23.590621948242188,46.76784896850586,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Unic Art Gallery,Cluj-Napoca,4.5,2463,Cultural,2,Oricând,23.592329025268555,46.77056121826172,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Jesuit Academy of Cluj,Cluj-Napoca,4.6,1190,Historic architecture,3,Oricând,23.59052276611328,46.767704010009766,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Bethlen crypt,Cluj-Napoca,4.0,2214,Cemeteries,2,Oricând,23.593095779418945,46.762081146240234,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Zina,Cluj-Napoca,4.6,2971,Cultural,3,Oricând,23.608341217041016,46.763370513916016,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Monument to the signers of the Memorandum,Cluj-Napoca,3.9,183,Historic,2,Oricând,23.591176986694336,46.76932907104492,Mic,Cultural,"['turism', 'călătorie', 'explorare']"
Cinema Arta,Cluj-Napoca,3.9,378,Cultural,1,Oricând,23.59027862548828,46.768089294433594,Mic,City Break,"['turism', 'călătorie', 'explorare']"
Imre Mikó,Cluj-Napoca,4.2,1172,Cemeteries,2,Oricând,23.593042373657227,46.761802673339844,Mic,City Break,"['turism', 'călătorie', 'explorare']"
