oras,denumire,latitudine,longitudine,categorie,rating_general,nr_recenzii,pret_categorie,sezon,tip_calatorie,durata_minima,cuvinte_cheie
Bucharest,Palatul Voaleta,44.43194580078125,26.10295295715332,Other,4.8,1028,Mediu,Oricând,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cretzulescu Commercial School,44.43324661254883,26.10931968688965,Architecture,3.8,2931,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Holy Friday Monument,44.42985534667969,26.10725975036621,Historic,4.2,2882,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Hanul Elias - Patria,44.42982482910156,26.104637145996094,Other,4.9,616,Mediu,Rece,Relaxare,2,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Biserica Bulgară Sf. Ilie Proorocul,44.43307113647461,26.10265350341797,Religion,4.3,1885,Mic,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Sfânta Vineri memorial Park Fountain,44.42963790893555,26.10741424560547,Fountains,3.6,2886,Mediu,Oricând,Relaxare,2,"['fântână', 'apă', 'fontană', 'loc de relaxare', 'jocuri de apă']"
Bucharest,Colțea Hospital,44.43450927734375,26.103984832763672,Historic architecture,4.8,1782,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Ortodoxă „Scaune”,44.4351921081543,26.105741500854492,Religion,4.2,553,Mic,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Monument to Mihail Cantacuzino, Karl Storck, Bucharest",44.434425354003906,26.103435516357422,Historic,4.9,560,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Biserica Scaune,44.4351921081543,26.10573387145996,Religion,3.6,2777,Mic,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Biserica Sfântul Nicolae - Negustori,44.43399429321289,26.109651565551758,Religion,4.3,1015,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Biserica Ortodoxă Sfântul Mina - Vergu,44.43230056762695,26.110485076904297,Religion,3.9,864,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"St. Mina Church, Bucharest",44.43227005004883,26.110490798950195,Religion,3.9,1583,Mediu,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Hristo Botev Street,44.435298919677734,26.10650062561035,Cultural,4.7,1928,Mediu,Rece,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Church of Colta,44.433372497558594,26.10224151611328,Religion,4.5,1175,Mic,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Holocaust Museum,44.429561614990234,26.108407974243164,Cultural,4.2,243,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Great Synagogue,44.42954635620117,26.108585357666016,Religion,4.3,559,Mediu,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Hanul Zamfir Simeon,44.432647705078125,26.10184097290039,Other,4.9,1157,Mic,Cald,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,"Biserica Ortodoxă ""Sf. Ioan Nou""",44.42939376831055,26.104297637939453,Religion,4.0,2751,Mediu,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,"Colțea Church, Bucharest",44.434722900390625,26.10340118408203,Religion,3.8,2323,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Memorial for the victims of the Bucharest pogrom,44.42963790893555,26.10891342163086,Historic,3.7,618,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Church of the Presentation of Mary,44.435150146484375,26.10847282409668,Religion,4.7,940,Mediu,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Lipscani,44.43183135986328,26.101646423339844,Historic architecture,3.7,1548,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Cărturești Carusel,44.43189239501953,26.101608276367188,Historic architecture,4.5,274,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Ruinele Bisericii Sf. Anton,44.42990493774414,26.102920532226562,Other,5.0,608,Mediu,Cald,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Palatul Chrissoveloni,44.432044982910156,26.101579666137695,Other,3.9,473,Mic,Oricând,Relaxare,2,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cafeneaua Veche,44.43031311035156,26.10239028930664,Other,4.8,1699,Mediu,Cald,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Cinema Pro,44.434242248535156,26.10225486755371,Cultural,3.5,2167,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Sala Rapsodia,44.431922912597656,26.101333618164062,Cultural,4.7,255,Mic,Rece,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Bucharest Russian Church,44.433799743652344,26.10176658630371,Religion,4.3,2006,Mic,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,The Lion of Jerusalem,44.429473876953125,26.109403610229492,Cultural,4.8,944,Mediu,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Biserica Ortodoxă „cu Sfinți”,44.43543243408203,26.108537673950195,Religion,4.2,2091,Mediu,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Mignon,44.43587875366211,26.10628890991211,Cultural,4.9,2012,Mediu,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Church of St. Nicholas Celari,44.432621002197266,26.101205825805664,Religion,3.6,2843,Mediu,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Clădirea Creditul Funciar Urban,44.43349838256836,26.10140037536621,Historic architecture,4.1,250,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Curtea Veche,44.43009948730469,26.102062225341797,Religion,4.0,2251,Mic,Cald,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Broken Violin Fountain,44.43532180786133,26.103384017944336,Cultural,4.1,2044,Mediu,Oricând,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche Church,44.43013381958008,26.102014541625977,Religion,3.9,689,Mediu,Rece,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Romanian Kitsch Museum,44.43075180053711,26.10150909423828,Museums,4.3,1689,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Bucharest Municipality Museum,44.43476486206055,26.102224349975586,Palaces,3.7,1693,Mic,Rece,City Break,1,"['palat', 'monarhie', 'regal', 'eleganță', 'lux']"
Bucharest,CinemaPRO,44.4339599609375,26.101451873779297,Cinemas,4.9,1793,Mic,Oricând,Circuit,5,"['cinema', 'film', 'sală de cinema', 'evenimente cinematografice']"
Bucharest,Udricani Church,44.429649353027344,26.110280990600586,Religion,4.4,1257,Mic,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Teatrul Foarte Mic,44.436187744140625,26.10523223876953,Cultural,4.4,1904,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,"Monument to C. A. Rosetti, Wladimir Hegel, Bucharest",44.4362907409668,26.10633087158203,Historic,4.7,2116,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,C. A. Rosetti,44.43628692626953,26.106470108032227,Historic,3.8,1540,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Curtea Sticlarilor,44.43070983886719,26.101024627685547,Other,4.7,428,Mic,Oricând,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,"""Chief-Rabbi Dr. Moses Rosen"" History Museum of the Jews in Romania",44.42839050292969,26.107961654663086,Cultural,4.0,342,Mediu,Rece,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Jewish Museum,44.42835235595703,26.108057022094727,Religion,3.6,174,Mediu,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Casa Eliad,44.43119430541992,26.111854553222656,Architecture,3.6,984,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Palatul Creditului Industrial,44.434776306152344,26.10166358947754,Architecture,4.9,2862,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,State Jewish Theater,44.42938995361328,26.11052131652832,Theatres and entertainments,4.6,297,Mediu,Oricând,City Break,1,"['teatru', 'spectacol', 'muzică', 'dans', 'entertainment', 'divertisment']"
Bucharest,"""The Old Court"" - Princely Palace",44.4300537109375,26.101274490356445,Cultural,4.8,1368,Mediu,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche,44.43010711669922,26.101198196411133,Architecture,3.7,350,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Monument al lui Ion C. Brătianu,44.435508728027344,26.102493286132812,Historic,4.0,1382,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Teatrul Evreiesc de Stat,44.4294319152832,26.11079216003418,Cultural,3.8,2072,Mic,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Curtea Veche,44.430076599121094,26.101078033447266,Historic,4.0,2885,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Statuia lui Vlad Țepeș,44.429931640625,26.101181030273438,Cultural,4.9,1896,Mic,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,strada Franceză,44.43000030517578,26.10110092163086,Historic architecture,4.1,1751,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Bucharest,Biserica Adventistă de Ziua a Șaptea - Conferința Muntenia,44.435150146484375,26.110748291015625,Religion,4.0,888,Mic,Oricând,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,University Square,44.435550689697266,26.102346420288086,Cultural,3.7,2884,Mic,Rece,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Muzeul Curtea Veche,44.429866790771484,26.101106643676758,Museums,4.0,1839,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Bucharest,Grand Spanish Temple,44.42805480957031,26.10824966430664,Religion,5.0,376,Mediu,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Casa Zarazei,44.42897415161133,26.110477447509766,Architecture,4.6,1604,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Oscar Maugsch Palace,44.434505462646484,26.100868225097656,Architecture,3.5,2572,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Bucharest,Ion Heliade Rădulescu,44.43514633178711,26.101497650146484,Cultural,4.4,2669,Mic,Oricând,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,"Monument to Ion Heliade Rădulescu, University of Bucharest",44.43513488769531,26.101398468017578,Historic,4.5,1155,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,Hanul Roșu,44.430023193359375,26.100631713867188,Other,3.8,136,Mediu,Cald,City Break,1,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,Horațiu,44.43099594116211,26.100025177001953,Cultural,3.6,2666,Mediu,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Monument to Michael the Brave,44.435020446777344,26.10106086730957,Historic,4.6,177,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Bucharest,"Biserica Ortodoxă ""Sfânta Vineri Nouă - Olteni""",44.42868423461914,26.110408782958984,Religion,3.7,2244,Mediu,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Bucharest,Michael the Brave,44.435062408447266,26.101089477539062,Cultural,4.4,245,Mic,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Bucharest,Hotel Concordia,44.430782318115234,26.100021362304688,Other,3.8,2896,Mediu,Oricând,Circuit,5,"['diverse', 'locație', 'interesant', 'explorare', 'necategorizat', 'activități diverse']"
Bucharest,National Theatre Museum,44.43657684326172,26.103593826293945,Museums,3.6,620,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Cluj-Napoca,Cluj-Napoca (Samian Ware Discovery Site),46.76667022705078,23.600000381469727,Historic,4.3,2413,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Andrei Mureșeanu,46.76727294921875,23.60004997253418,Historic,4.7,2379,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,MATCA artspace,46.766117095947266,23.598995208740234,Cultural,3.9,89,Mediu,Cald,City Break,1,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Catedrala Martirilor și Mărturisitorilor secolului XX,46.76778030395508,23.598909378051758,Religion,4.7,2566,Mediu,Oricând,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Greek Catholic Diocese of Cluj-Gherla,46.76762390136719,23.59855079650879,Religion,4.7,2465,Mediu,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Baba Novac,46.76792526245117,23.597570419311523,Historic,4.1,973,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Tailors' Bastion,46.76800537109375,23.597518920898438,Towers,3.9,1469,Mediu,Cald,Circuit,5,"['turn', 'vârf', 'panoramă', 'priveliște']"
Cluj-Napoca,Tailors' Bastion,46.76835632324219,23.59731674194336,Fortifications,4.1,1155,Mic,Cald,City Break,1,"['fortificație', 'castel', 'cetate']"
Cluj-Napoca,Iuliu Maniu,46.76846694946289,23.597463607788086,Historic,4.3,116,Mic,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Casa Ion Agârbiceanu,46.76462936401367,23.602428436279297,Historic,4.2,121,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Biserica Eparhială Sfântul Ioan Evanghelistul,46.76629638671875,23.604049682617188,Religion,4.4,893,Mic,Rece,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Jewish Cemetery,46.76597213745117,23.5958251953125,Cemeteries,4.3,2871,Mediu,Rece,City Break,1,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Casa Memorială Diana Cornea,46.76404571533203,23.59759521484375,Biographical museums,4.1,824,Mediu,Oricând,City Break,1,"['muzeu', 'expoziție', 'artă', 'istorie', 'cultură']"
Cluj-Napoca,Ion Agârbiceanu,46.76407241821289,23.602516174316406,Historic,3.9,2623,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Farkas Gyalui,46.76664352416992,23.595399856567383,Cemeteries,3.7,89,Mediu,Rece,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Reformed Church of Farkas Street,46.76814270019531,23.59587287902832,Religion,4.3,2782,Mic,Rece,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Albert Szenczi Molnár,46.76619338989258,23.595247268676758,Cemeteries,4.3,1156,Mic,Rece,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Statue of Saint George,46.76805114746094,23.595300674438477,Historic,3.7,1758,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,La Casa,46.769691467285156,23.596942901611328,Architecture,4.0,1804,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Romanian National Opera,46.77006912231445,23.597352981567383,Cultural,4.4,2191,Mediu,Cald,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Lucian Blaga National Theatre,46.7701301574707,23.59749412536621,Cultural,4.1,67,Mic,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Alexandru Lapedatu,46.76258850097656,23.60028839111328,Historic,3.9,990,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Emil Racoviță,46.76789474487305,23.59423828125,Historic,3.9,752,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Alexandru Vaida Voevod,46.770267486572266,23.59699821472168,Historic,4.3,886,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Palace of Justice,46.7707405090332,23.59861946105957,Historic architecture,4.8,618,Mediu,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Emil Racoviță National College,46.768165588378906,23.594064712524414,Architecture,4.5,2979,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Lucian Blaga,46.77070236206055,23.59726333618164,Historic,4.6,2452,Mediu,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Mihai Eminescu,46.77064895629883,23.597015380859375,Historic,3.8,929,Mic,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,"Teleki Palace, Cluj-Napoca",46.7679443359375,23.59352684020996,Historic architecture,4.7,2318,Mic,Oricând,City Break,1,"['clădiri vechi', 'monumente istorice', 'istorie', 'patrimoniu']"
Cluj-Napoca,Biserica lui Isus Hristos a Sfinților din Zilele din Urmă,46.76650619506836,23.606882095336914,Religion,4.3,1599,Mediu,Oricând,Circuit,5,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Miklós Tótfalusi Kis,46.764530181884766,23.593751907348633,Cemeteries,4.8,726,Mediu,Rece,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Cinema Victoria,46.77070617675781,23.596092224121094,Cultural,3.9,1876,Mediu,Oricând,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Old National Theatre of Cluj,46.767398834228516,23.59295082092285,Architecture,4.8,1495,Mic,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,János Apáczai Csere,46.76424026489258,23.59381103515625,Cemeteries,4.4,707,Mic,Rece,Circuit,5,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Orthodox Church of the Transfiguration,46.76980209350586,23.594356536865234,Religion,4.8,2112,Mic,Cald,Relaxare,2,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,Restaurant Casa Universitarilor - Piramida,46.76811218261719,23.592914581298828,Architecture,3.7,2620,Mediu,Oricând,City Break,1,"['arhitectură', 'design', 'clădiri', 'structuri', 'construcții']"
Cluj-Napoca,Fântână arteziană,46.771278381347656,23.59675407409668,Fountains,4.9,2125,Mediu,Cald,Circuit,5,"['fântână', 'apă', 'fontană', 'loc de relaxare', 'jocuri de apă']"
Cluj-Napoca,Avram Iancu,46.77130126953125,23.596752166748047,Historic,3.7,1406,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,"""Babes-Bolyai"" University Museum",46.76741027832031,23.592147827148438,Cultural,4.0,2236,Mic,Rece,Circuit,5,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,Ion Xántus,46.76576232910156,23.592151641845703,Cemeteries,3.9,1772,Mic,Rece,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Episcopul Nicolae Ivan,46.77162551879883,23.596616744995117,Historic,3.6,786,Mediu,Oricând,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Transylvanian School,46.76762008666992,23.59212875366211,Historic,3.9,617,Mic,Cald,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Eugene Dsida,46.76435089111328,23.592758178710938,Cemeteries,4.7,1566,Mediu,Rece,Relaxare,2,"['cemetery', 'mormânt', 'istorie', 'cultură', 'spiritualitate']"
Cluj-Napoca,Mitropolitul Bartolomeu Anania,46.77158737182617,23.5964412689209,Historic,3.9,735,Mediu,Rece,Circuit,5,"['istoric', 'cultură', 'evenimente istorice', 'istorie']"
Cluj-Napoca,Chapel of the Dead,46.765892028808594,23.592060089111328,Religion,3.8,2857,Mic,Cald,City Break,1,"['religios', 'spiritual', 'biserică', 'mănăstire', 'credință']"
Cluj-Napoca,"Palaeontological and Stratighraphical Museum of the ""Babes-Bolyai"" University",46.767765045166016,23.59209442138672,Cultural,4.9,292,Mediu,Cald,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
Cluj-Napoca,PUCK Puppet Theatre,46.76862716674805,23.59237289428711,Cultural,4.6,2765,Mediu,Rece,Relaxare,2,"['cultură', 'arte', 'expoziție', 'festival', 'evenimente culturale', 'muzică', 'dans']"
